id,nome,idade,salario,data_cadastro,ativo
1,Cliente_1,56.0,4390.65,2020-01-01,True
2,Cliente_2,69.0,7746.2,2020-01-02,True
4,Cliente_4,32.0,8462.48,2020-01-04,True
5,Cliente_5,60.0,6121.73,2020-01-05,True
7,Cliente_7,78.0,1331.4,2020-01-07,True
10,Cliente_10,75.0,1678.23,2020-01-10,True
13,Cliente_13,28.0,7749.2,2020-01-13,True
16,Cliente_16,70.0,7535.09,2020-01-16,True
17,Cliente_17,53.0,7813.73,2020-01-17,True
18,Cliente_18,57.0,4400.65,2020-01-18,True
20,Cliente_20,20.0,2845.41,2020-01-20,True
28,Cliente_28,19.0,1199.66,2020-01-28,True
29,Cliente_29,77.0,5483.49,2020-01-29,True
32,Cliente_32,29.0,3770.0,2020-02-01,True
34,Cliente_34,39.0,9711.76,2020-02-03,True
35,Cliente_35,78.0,1795.67,2020-02-04,True
36,Cliente_36,61.0,8126.36,2020-02-05,True
39,Cliente_39,44.0,4784.82,2020-02-08,True
40,Cliente_40,76.0,8062.01,2020-02-09,True
41,Cliente_41,59.0,6754.25,2020-02-10,True
42,Cliente_42,45.0,8245.4,2020-02-11,True
43,Cliente_43,77.0,9128.36,2020-02-12,True
45,Cliente_45,32.0,9824.16,2020-02-14,True
47,Cliente_47,79.0,6729.8,2020-02-16,True
54,Cliente_54,74.0,3681.64,2020-02-23,True
56,Cliente_56,54.0,7278.78,2020-02-25,True
59,Cliente_59,38.0,8578.82,2020-02-28,True
61,Cliente_61,56.0,1596.12,2020-03-01,True
62,Cliente_62,35.0,1412.75,2020-03-02,True
63,Cliente_63,21.0,6587.25,2020-03-03,True
64,Cliente_64,42.0,4126.72,2020-03-04,True
67,Cliente_67,67.0,4074.07,2020-03-07,True
70,Cliente_70,43.0,6262.89,2020-03-10,True
73,Cliente_73,37.0,2620.61,2020-03-13,True
77,Cliente_77,24.0,5637.12,2020-03-17,True
78,Cliente_78,61.0,9757.99,2020-03-18,True
83,Cliente_83,31.0,4128.57,2020-03-23,True
85,Cliente_85,53.0,5938.44,2020-03-25,True
90,Cliente_90,79.0,3970.9,2020-03-30,True
93,Cliente_93,59.0,5330.31,2020-04-02,True
95,Cliente_95,71.0,5604.91,2020-04-04,True
97,Cliente_97,35.0,4395.57,2020-04-06,True
100,Cliente_100,51.0,1760.65,2020-04-09,True
101,Cliente_101,27.0,6375.5,2020-04-10,True
103,Cliente_103,53.0,5829.32,2020-04-12,True
105,Cliente_105,48.0,3125.05,2020-04-14,True
106,Cliente_106,65.0,7839.6,2020-04-15,True
109,Cliente_109,31.0,1561.07,2020-04-18,True
110,Cliente_110,40.0,2329.65,2020-04-19,True
111,Cliente_111,77.0,2198.05,2020-04-20,True
115,Cliente_115,38.0,1274.25,2020-04-24,True
116,Cliente_116,33.0,8804.93,2020-04-25,True
117,Cliente_117,62.0,4187.32,2020-04-26,True
119,Cliente_119,64.0,1943.82,2020-04-28,True
121,Cliente_121,41.0,2640.55,2020-04-30,True
123,Cliente_123,42.0,8566.39,2020-05-02,True
125,Cliente_125,77.0,5818.02,2020-05-04,True
126,Cliente_126,77.0,3098.95,2020-05-05,True
127,Cliente_127,62.0,4086.34,2020-05-06,True
387,Cliente_129,46.0,4195.94,2020-05-08,True
132,Cliente_132,18.0,6257.8,2020-05-11,True
133,Cliente_133,42.0,7631.4,2020-05-12,True
134,Cliente_134,24.0,6019.68,2020-05-13,True
136,Cliente_136,41.0,6080.13,2020-05-15,True
139,Cliente_139,25.0,9096.83,2020-05-18,True
140,Cliente_140,41.0,6468.0,2020-05-19,True
141,Cliente_141,28.0,3199.18,2020-05-20,True
142,Cliente_142,68.0,5484.23,2020-05-21,True
143,Cliente_143,34.0,3973.14,2020-05-22,True
148,Cliente_148,76.0,5390.29,2020-05-27,True
154,Cliente_154,45.0,1464.72,2020-06-02,True
155,Cliente_155,24.0,1164.18,2020-06-03,True
159,Cliente_159,51.0,6183.99,2020-06-07,True
160,Cliente_160,50.0,9256.56,2020-06-08,True
162,Cliente_162,72.0,9775.6,2020-06-10,True
163,Cliente_163,40.0,5416.74,2020-06-11,True
